,id,name,ruby,bust,cup,waist,hip,height,birthday,blood_type,hobby,prefectures,imageURL.small,imageURL.large,listURL.digital,listURL.monthly,listURL.mono,listURL.rental
84,416,横山エリ,よこやまえり,,,,,,,,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/yokoyama_eri.jpg,http://pics.dmm.co.jp/mono/actjpgs/yokoyama_eri.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D416%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D416%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D416%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D416%2F&af_id=souhub-990&ch=api
85,417,横山みゆき,よこやまみゆき,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D417%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D417%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D417%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D417%2F&af_id=souhub-990&ch=api
86,418,横山亜美,よこやまあみ,,,,,,,,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/yokoyama_ami.jpg,http://pics.dmm.co.jp/mono/actjpgs/yokoyama_ami.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D418%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D418%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D418%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D418%2F&af_id=souhub-990&ch=api
87,419,横山沙織,よこやまさおり,82,,58,83,,,,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/yokoyama_saori.jpg,http://pics.dmm.co.jp/mono/actjpgs/yokoyama_saori.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D419%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D419%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D419%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D419%2F&af_id=souhub-990&ch=api
88,420,横山真奈美,よこやままなみ,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D420%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D420%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D420%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D420%2F&af_id=souhub-990&ch=api
89,421,横山奈津子,よこやまなつこ,86,E,63,87,153,1977-07-04,B,音楽鑑賞、剣道,東京都,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/yokoyama_natuko.jpg,http://pics.dmm.co.jp/mono/actjpgs/yokoyama_natuko.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D421%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D421%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D421%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D421%2F&af_id=souhub-990&ch=api
90,422,横倉里奈,よこくらりな,83,C,57,83,,1980-02-14,,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/yokokura_rina.jpg,http://pics.dmm.co.jp/mono/actjpgs/yokokura_rina.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D422%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D422%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D422%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D422%2F&af_id=souhub-990&ch=api
91,423,岡沙理奈,おかさりな,98.2,,,,,,,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/oka_sarina.jpg,http://pics.dmm.co.jp/mono/actjpgs/oka_sarina.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D423%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D423%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D423%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D423%2F&af_id=souhub-990&ch=api
92,424,岡崎あい,おかざきあい,80,,59,85,,,,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/okazaki_ai.jpg,http://pics.dmm.co.jp/mono/actjpgs/okazaki_ai.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D424%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D424%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D424%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D424%2F&af_id=souhub-990&ch=api
93,425,岡崎あさみ,おかざきあさみ,,,,,,,,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/okazaki_asami.jpg,http://pics.dmm.co.jp/mono/actjpgs/okazaki_asami.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D425%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D425%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D425%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D425%2F&af_id=souhub-990&ch=api
94,426,岡崎知里,おかざきちさと,83,,58,85,,1981-04-09,,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/okazaki_tisato.jpg,http://pics.dmm.co.jp/mono/actjpgs/okazaki_tisato.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D426%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D426%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D426%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D426%2F&af_id=souhub-990&ch=api
95,427,岡崎美女,おかざきみお,81,D,54,81,156,1972-11-14,O,英会話、カラオケ、ゴルフ、、エレクトーン演奏、絵画,福岡県,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/okazaki_mio.jpg,http://pics.dmm.co.jp/mono/actjpgs/okazaki_mio.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D427%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D427%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D427%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D427%2F&af_id=souhub-990&ch=api
96,428,岡崎美々,おかざきみみ,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D428%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D428%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D428%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D428%2F&af_id=souhub-990&ch=api
97,429,岡崎萌,おかざきもえ,85,D,59,88,,,,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/okazaki_moe.jpg,http://pics.dmm.co.jp/mono/actjpgs/okazaki_moe.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D429%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D429%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D429%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D429%2F&af_id=souhub-990&ch=api
98,430,岡崎靖子,おかざきやすこ,83,B,60,80,,,,,,http://pics.dmm.co.jp/mono/actjpgs/thumbnail/okazaki_yasuko.jpg,http://pics.dmm.co.jp/mono/actjpgs/okazaki_yasuko.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D430%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D430%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D430%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D430%2F&af_id=souhub-990&ch=api
99,431,岡崎麗奈,おかざきれいな,,,,,,,,,,,,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D431%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmonthly%2Fpremium%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D431%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fmono%2Fdvd%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D431%2F&af_id=souhub-990&ch=api,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Frental%2Fppr%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D431%2F&af_id=souhub-990&ch=api
